Station_ID,Lat,Long,Source_No,Agency,Contact,Data Link
14112,38.891564,-77.062457,ICPRB_10APM,DDOE,"Jeffery Zahn, 202-369-3636, jeffrey.zahn@dc.gov",http://www.ysieconet.com/public/WebUI/Default.aspx?hidCustomerID=167
00016CAD,38.870692,-77.005435,ICPRB_10APM,DDOE,"Jeffery Zahn, 202-369-3636, jeffrey.zahn@dc.gov",http://www.ysieconet.com/public/WebUI/Default.aspx?hidCustomerID=167
000177B8,38.896063,-76.961201,ICPRB_10APM,DDOE,"Jeffery Zahn, 202-369-3636, jeffrey.zahn@dc.gov",http://www.ysieconet.com/public/WebUI/Default.aspx?hidCustomerID=167
0044-02-2010,39.308333,-79.311217,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0044-03-2010,39.309167,-79.31165,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0053-01-2007,39.4573,-78.9901,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0053-02-2007,39.4686,-79.0186,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0053-03-2007,39.4633,-78.9721,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0054-01-2007,39.4962,-78.9481,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0054-02-2007,39.4846,-78.9479,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0054-03-2007,39.4989,-78.9368,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0057-01-2010,39.57805,-78.85125,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0057-02-2010,39.579367,-78.85265,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0057-03-2010,39.5832,-78.862617,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0059-01-2007,39.5964,-78.8276,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0059-01-2010,39.595783,-78.833567,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0060-01-2007,39.6109,-78.8042,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0060-02-2007,39.6113,-78.8046,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0062-01-2007,39.5868,-78.7163,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0063-02-2007,39.5757,-78.7065,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0063-03-2007,39.5678,-78.7154,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0064-01-2007,39.6246,-78.6732,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0064-02-2007,39.6034,-78.6844,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0064-03-2007,39.5689,-78.7043,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0065-01-2007,39.649,-78.6665,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0065-02-2007,39.6654,-78.6577,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0066-01-2007,39.5639,-78.6966,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0066-02-2007,39.5763,-78.6855,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0066-03-2007,39.5753,-78.6863,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0067-02-2007,39.611,-78.6553,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0068-01-2007,39.5565,-78.6457,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0068-02-2007,39.5733,-78.6563,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0068-03-2007,39.5666,-78.6565,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0068-04-2007,39.5983,-78.6532,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0070-01-2007,39.5617,-78.6273,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
